NO,논문ID,논문명,논문 외국어명,저자,공동저자,학술지 명,학술지 외국어 명,발행기관 명,발행기관 외국어 명,등재 구분,발행년,권(호),페이지,논문번호,키워드(한국어),키워드(외국어),주제분야,피인용횟수,URL,DOI
55,ART002111366,미디어 존재론 - 시몽동의 ‘개체화’를 통해 본 매클루언의 미디어론,Media Ontology Simondon’s Concept of Individuation and McLuhan’s Concept of Entelechy,김상호(경북대학교),,언론과 사회,,사단법인 언론과 사회,,등재,201605,24(2),pp.143~190,,"시몽동, 매클루언, 개체, 미디어, 존재론","Simondon, McLuhan, individuation, media, ontology",신문방송학,8,,
56,ART001954565,AI 심신론의 기술교육적 시사점: 니시카와와 시몽동의 논의를 중심으로,AI's mind-body problem and Technical education,최승현(고려대학교),,교육철학연구,The Korean Journal of Philosophy of Education,한국교육철학학회,The Korean Philosophy of Education Society,등재,201412,36(4),pp.219~239,,"AI, BAII, 심신문제, 기술교육, 교육적 의사소통","AI, BAII, mind-body problem, technical education, educational communication.",교육학,1,,
57,ART001964068,질베르 시몽동의 기술미학,The Technoaesthetic of Gilbert Simondon,김재희(이화여자대학교),,미학예술학연구,The Journal of Aesthetics and Science of Art,한국미학예술학회,,등재,201502,43(),pp.95~121,,"시몽동, 기술미학, 미학적 사유, 아름다움, 기술적 대상","Simondon, technoaesthetic, aesthetical thinking, beauty, technical object",기타예술체육,8,,
58,ART002223715,"시몽동의 관계의 존재론에서 정신적, 집단적 개체화: 미술교육에의 새로운 접근을 위한 시도",Psychic and Collective Individuation in the Simondonian Ontology of Relation: An Attempt at a New Approach to Art Education,황수영(홍익대학교),,미술과 교육,Journal of Research in Art Education,한국국제미술교육학회,Korean Society for Education through Art (KoSEA),등재,201704,18(2),pp.1~23,,"개체화, 생성, 존재, 관계, 정념성, 개체초월성, 미술교육","individuation, becoming, being, relation, affectivity, transindividuality, art education",미술이론,8,,
59,ART001954061,"【서 평】『베르그손, 생성으로 생명을 사유하기 - 깡길렘, 시몽동, 들뢰즈와의 대화』",book review,여인석(연세대학교),,의철학연구,Philosophy of Medicine,한국의철학회,The Korean Association for Philosophy of Medicine,등재,201412,18(),pp.91~95,,,,기타철학일반,0,,
60,ART002853063,수행적 걷기 활동으로서 보행환경에 대한 기술미학적 고찰,Techno-Aesthetic Contemplation on Pesestrian Environment as a Performative Walking Activity,정형원(홍익대학교),최익서(홍익대학교),한국공간디자인학회 논문집,Journal of Korea Intitute of Spatial Design,한국공간디자인학회,Korean Institute of Spatial design,등재,202206,17(4),pp.49~62,,"코로나19, 수행적 걷기 활동, 보행 환경, 상호감응, 기술미학","COVID-19, Performative Walking Activity, Pedestrian Environment, Mutual Affection, Techno-Aesthetic",실내환경디자인,0,,
61,ART003228719,불멸과 디지털 불멸: 인간과 미디어의 관계를 중심으로,Immortality and Digital Immortality: Focusing on the Relationship between Humans and Media,김연숙(숭실대학교),,콘텐츠와산업,,한국콘텐츠산업학회,Korean Contents and Industry Association,등재,202506,7(3),pp.169~174,,"상징적 불멸, 인스턴트 불멸,  CASA(컴퓨터는 사회적 행위자다), 미디어 효과, 개체화","symbolic immortality, instant immortality, CASA (computers are social actors), media effects, iIndividuation",학제간연구,0,,
62,ART001618991,질베르 시몽동의 기술철학에 나타난 ‘기술성(technicité)’의 의미 －현대 정보기술문화 이해를 위한 소고－,La technicité dans la philosophie de la technique de Gilbert Simondon: l'essai pour la compréhension de la culture informatique et technologique,김화자(명지대학교),,현상학과 현대철학,,한국현상학회,Korean Society For Phenomenology,등재,201112,(51),pp.35~66,,"기술성, 시몽동, 변환, 원초적인 마술적 단일성, 회귀작용의 양식, 위상변이, 모양-바탕, 형상-질료, 자기-조절, 앙상블.","Auto-régulation, Ensemble, Déphasage, Figure-fond,Forme-matière, Mode d’action récurrente, Simondon,Technicité, Transduction, Unité magique primitive",철학,9,,
63,ART002620271,버지니아 울프 소설에 구현된 기술미학과 환경미학: 『파도』와 『올랜도,Technoaesthetics and Environmental Aesthetics Embodied in Virginia Woolf’s Novels: The Waves and Orlando,박신현(건국대학교),,외국문학연구,,외국문학연구소,Institute of Foreign Literature,등재,202008,(79),pp.117~150,,"기술미학, 환경미학, 질베르 시몽동, 버지니아 울프, 『파도』, 『올랜도』","technoaesthetics, environmental aesthetics, Gilbert Simondon, Virginia Woolf, The Waves, Orlando",문학,1,,http://dx.doi.org/10.22344/fls.2020.79.117
64,ART001020210,디지털 이미지의 존재론적 성격,Ontological Aspects of Digital Image,박성수(한국해양대학교),,영상예술연구,Assoication of Image & Film Studies,영상예술학회,Association of Image & Film Studies,등재후보,200505,(6),pp.69~94,,"디지털 이미지, 디지털의 존재론적 층위, 시몽동, 기술적 요소, 기술적 개체, 기술적 총체","digital image, dichotomy of text/image, technical object, Gilbert Simondon",기타예술체육,2,,
